Gene	CYFZ	FY2H	FLWA	453W	684C	CZJE	925L	9JD4	G4YW	4DUY	36TS	CR3L
S1PR3	4.27549630336716	11.5440255266781	10.4491331129299	13.1920524990523	8.06572271689715	7.5391973782684	9.2805563403609	3.20737083578927	10.3115265505309	6.71148666174348	9.30190464552132	9.49940487813965
RXFP2	2.03853	3.434462	5.46599	2.877763	2.81506	4.841774	4.121785	1.360194	4.968803	2.741531	1.158485	1.252828
ADAMTS5	0.010506	0	0.1700436	0	0.6866893	1.12608	0.4211444	0.4316074	0.5202201	0.07633347	0.02898434	0.313793
CLEC6A	4.78661496068253	9.35734159669068	6.12881749597582	8.60698849496457	4.48011443845887	3.70613483214323	4.73021296368315	1.05915665447125	5.68114445430281	3.48720125626073	2.17008625627121	6.72830652951824
FXYD6	19.8816267206178	29.8605842886618	20.3102594856354	26.0959181788513	22.7797553255835	23.2028249558703	17.1216637507296	13.2577701000139	26.9656148369196	22.2684385119639	31.9155657501344	12.5538652424365
NRG1	20.8964351299183	5.76968073822421	21.5369025337633	9.63873978277203	14.8840684674152	15.2118077655438	38.6315894960047	18.0409122253191	40.4027018342168	19.6016356363296	12.0059476589689	20.7483831783836
PRLR	0.154794464257629	0.397368185308638	0.975477004823109	0.864144907634561	0.703391392308849	1.18124553018481	2.88636077047483	0.608748453125546	2.10252539939361	0.441810391234947	2.08959397665947	2.42515355440262
CLEC5A	6.64476458385897	3.62600854424808	13.2869905404918	5.76201091479082	4.6532327481497	5.70373815633489	6.9259482559445	3.15562446394966	9.27831878313174	2.93282199177455	6.8835534067531	8.47791678115319
VCAN-AS1	13.9112687652762	0.44400444907783	21.1573069385863	6.72909788615122	3.57873673966427	1.92089791317152	11.5712152294187	12.4710300318525	18.1835856270395	2.854397271279	8.89063347641592	6.73230430332452
C9orf47	0.241871626554099	0.623944268369495	0.191856735087907	0.0392519314600911	0	0.221029448676118	0.550372606288629	0.598013070150555	0.363540352481867	0.21977250929543	0.203861768114605	0.0787837765354111
PLA2G7	16.3019479481549	14.426515421441	15.3718564512285	16.2872045671859	21.5441107549614	18.1715956999701	17.4084577112038	15.682080727822	13.4422589187751	13.6619987412457	24.1848717002811	16.5674966428284
CYP1B1	37.1888734710013	113.293966748246	105.845198509564	135.006405341769	75.6118516395437	107.187127380722	72.6773460577794	58.7219744104617	127.541078886595	77.9331124390459	96.1843108043131	69.5274820466571
CYP27A1	40.7732222991851	42.6711606274242	46.0188644194139	34.6173032574833	49.9497109416451	13.1807225634883	28.5800418805549	16.8287714839683	36.6532365280227	42.7160225658071	19.5398246920262	47.7736652313071
IL31RA	0.854871905149768	1.04358865115372	0.0935142955003813	0	0.426405635057102	1.90711493807916	0.203264264831991	0.407893262857198	1.29384193528572	0.0514773088765005	0.465725851530815	0.773022152989331
ASGR2	30.0394	49.41704	39.28709	34.19376	20.1445	35.61541	27.52013	20.89891	21.74178	34.81851	36.34681	36.07127
HPSE	13.6282621927984	32.4040806644557	22.063435156535	17.2669097726444	13.1073222464226	22.8469636020358	22.9853484976747	19.413321122287	16.7424870920246	30.4414947817236	24.9319835051502	14.9415113723301
RP11-362F19.3	5.27485095722197	7.00115832739161	0	10.6037638624875	21.5276629176403	14.4841030218316	18.6441166279451	6.69682409460806	15.5700374783182	7.49416504575214	2.59847334835269	8.56159666103117
